x1,x2,x3,x4,y
-2.285281,0.015095,0.070936,2.160004,7.252868
-2.384179,-1.660293,0.606184,0.339354,2.237225
1.700240,0.286869,1.383234,1.608692,3.243209
1.506156,0.519125,-1.560396,0.685226,4.681667
-2.335581,1.900568,-0.302071,1.888576,5.150196
1.111068,1.076334,-1.738652,-1.490921,4.250162
2.879474,2.575904,1.830815,2.997937,8.517518
0.081525,-2.542081,-0.957633,0.344703,0.011901
-1.247269,-0.255313,2.258849,1.223853,3.899058
0.464540,-2.851564,1.265174,-0.818747,-4.395152
-0.466695,-0.607360,0.514307,-0.009269,0.698939
-2.301312,0.038152,1.500881,0.600991,3.904773
-0.053816,2.500528,-1.448139,-0.480203,0.657310
2.557399,-0.124860,0.107923,-2.847743,4.895146
-1.652851,-2.226007,-2.706674,1.227976,5.770943
2.320948,-2.384542,0.733858,-0.179758,-3.058856
-0.107321,-1.626436,2.315527,0.760023,-0.194896
-0.259222,-0.183564,2.576788,2.923354,7.933634
0.273794,0.358776,1.018524,-1.154236,-0.049856
1.798812,0.011398,-0.126643,2.306701,6.549343
-0.401599,-1.233755,-1.385784,-2.801344,5.738773
0.933856,0.583639,-0.250635,0.137333,1.572026
-0.062895,2.529058,-1.439337,-0.086585,0.598282
0.067601,1.957041,1.847756,0.347028,-0.336612
2.443597,1.988418,-1.100057,2.500870,9.229938
-2.409756,1.135999,1.710504,0.091040,3.399247
-0.282476,2.791609,2.803607,2.054639,2.770017
-0.125123,-2.614229,-1.401203,-0.009475,0.342757
-2.420025,1.485308,-0.532135,-0.303631,3.263267
-2.915805,-2.998716,0.483840,2.593070,6.187679
-2.501607,1.762624,-1.512974,0.726448,4.158786
1.511130,2.738201,1.010863,0.812451,-0.901777
-2.071435,-1.119344,0.498393,1.617167,4.901083
2.699613,-0.048066,1.322836,-2.190812,1.582091
-1.662434,0.527607,2.749665,2.255963,8.146944
0.028328,-2.493401,1.011329,2.610335,3.598025
1.700628,2.490097,-1.163974,-0.527765,1.575806
1.847970,0.120186,-1.819817,-2.915209,8.421310
-2.363196,2.326625,-2.691748,-0.917893,3.707828
-0.879583,1.617202,-2.845259,0.062327,4.365438
-1.033440,-1.177970,-1.043744,-2.271763,4.330698
2.692693,0.429709,1.829632,-2.076656,1.355501
0.117682,-0.398355,-0.981487,0.589318,2.822641
1.070990,-2.582949,-0.605058,-1.827036,-1.493901
2.528733,-2.728580,0.268599,2.033882,2.260968
-0.289075,1.528258,-1.868824,1.265673,4.638153
2.266901,-2.225161,0.179619,1.712454,1.926785
0.101116,2.739525,-2.037656,2.066248,3.570337
-0.660171,-0.447874,-0.515479,-2.528047,4.658975
-1.170544,-0.935604,-1.419338,-0.014385,3.279943
1.681488,-0.505576,-0.193798,-1.045264,0.549095
-0.107683,-2.279366,1.779615,1.780272,1.262356
1.896914,2.087220,-1.611991,2.722043,8.893818
2.271725,0.874075,-0.551985,1.699883,6.565457
2.096961,1.022394,2.767192,-0.888299,-0.382815
-2.059445,0.372015,0.433993,0.230272,3.316669
-2.341839,1.296075,0.334799,0.408249,3.390360
-1.713390,-1.231799,-1.391396,0.334405,3.803344
-2.391266,-1.417724,2.729254,-1.972349,3.518553
1.107284,1.554676,1.334150,-1.887029,-0.066070
0.780519,0.039760,-1.339284,2.024347,6.526849
-1.253783,-1.112389,-1.434850,-2.622726,6.342586
-0.530146,2.388324,1.660676,-0.512830,-1.430083
-2.907420,-2.421301,-2.862134,-2.261878,6.939774
1.114959,0.458886,2.616667,-0.898159,-0.884020
1.678541,0.643530,0.928303,0.690869,1.498608
2.548464,-1.103618,-1.706183,-0.223981,3.843503
2.874673,2.270419,1.118781,2.167805,6.575524
1.088422,2.542392,-0.665716,2.682382,5.179979
-0.862093,1.412322,-0.379552,-2.858020,6.146133
1.171804,-1.262666,2.749705,1.799059,2.164522
-2.266109,1.607360,-1.086705,2.417763,7.152811
0.252941,-0.945097,0.365177,1.330069,2.141233
-2.324414,0.713822,-2.290302,-2.245908,8.363283
-0.875756,0.887361,0.934799,-2.827235,4.839548
0.468763,-0.864171,-0.695365,-1.564164,1.301344
-0.474087,-1.682608,-2.248752,0.257562,3.302248
0.969376,2.607993,1.102513,-0.618849,-2.575465
-1.470154,-2.113900,-2.859828,-1.339011,4.409936
